source,date,rating,text,author,clean_text,word_count
Play Store,2026-07-16 13:20:37,1,"Swiggy is the most fraud app I've ever used. All the offers that they have brought up for FIFA is just a scam and doesn't work. Even when we order the food through offers, they just include all the money again through GST and other charges. Never gonna use this app again.",Just ForInsta,"swiggy is the most fraud app i've ever used. all the offers that they have brought up for fifa is just a scam and doesn't work. even when we order the food through offers, they just include all the money again through gst and other charges. never gonna use this app again.",52
Play Store,2026-07-16 13:09:59,1,multiple deliveries for each delivery partner ruining the experience.,RAGHU RAM G,multiple deliveries for each delivery partner ruining the experience.,9
Play Store,2026-07-16 13:02:06,1,pls send only tamil and English speaking agent for delivery,nivitha durai,pls send only tamil and english speaking agent for delivery,10
Play Store,2026-07-16 12:58:30,1,bad app very high price they show this app is totally scam without your permission they took from you their full food charge so be alert before using this app,Vivek Gupta,bad app very high price they show this app is totally scam without your permission they took from you their full food charge so be alert before using this app,30
Play Store,2026-07-16 12:58:22,5,the delivery was on time inspite of bad weather conditions.,Disha Pal,the delivery was on time inspite of bad weather conditions.,10
Play Store,2026-07-16 12:43:54,5,good but prices are to High please give me some discount,Subrhamanya Naik,good but prices are to high please give me some discount,11
Play Store,2026-07-16 12:37:01,1,"worst worst worst worst worst never fulfilled service on time, untrained staff. when file legal case then come on sorry sorry sorry. all that they know is SORRY. So this time uninstalling your app and boycotting you really SORRY. if I have a chance to rate to 0 then I would have done that too.",राष्ट्रवादी भारतीय,"worst worst worst worst worst never fulfilled service on time, untrained staff. when file legal case then come on sorry sorry sorry. all that they know is sorry. so this time uninstalling your app and boycotting you really sorry. if i have a chance to rate to 0 then i would have done that too.",55
Play Store,2026-07-16 12:18:08,1,Sending defective items from Instamart and response from customer care. worst service. Already written a mail 2days back but there is no response and no resolution.,LksN TejA,sending defective items from instamart and response from customer care. worst service. already written a mail 2days back but there is no response and no resolution.,26
Play Store,2026-07-16 11:02:58,1,"scammers, they dont want to refund the money received from restaurants. its over 11 days i have been waiting for refund and their service team are robots !",Alester Rodrigues,"scammers, they dont want to refund the money received from restaurants. its over 11 days i have been waiting for refund and their service team are robots !",28
Play Store,2026-07-16 10:55:16,1,"sbse bekar aap hai Swiggy, agar abse kharab app ka number aaye to Swiggy ko pehli sbse kharab aap bolugi, 3km distance 3 ghante me order aaya hai receive hone ke baad. khana bi fekna pada hai. mai itna hi bolugi sbse Swiggy valo ko ki apni aap band krdo jab tumse nahi ho para hai ye kaam. mene to delete hi krdo hai ghatiya aap",ruchi Sharma,"sbse bekar aap hai swiggy, agar abse kharab app ka number aaye to swiggy ko pehli sbse kharab aap bolugi, 3km distance 3 ghante me order aaya hai receive hone ke baad. khana bi fekna pada hai. mai itna hi bolugi sbse swiggy valo ko ki apni aap band krdo jab tumse nahi ho para hai ye kaam. mene to delete hi krdo hai ghatiya aap",66
Play Store,2026-07-16 10:48:11,1,"Ye sale order to 3 ghante me dete hai, 3 km aane Mai inko 3 ghante lgte hai. road pe let kr bi aao to bi jaldi poch jaoge, pehle apna kaam thik kro. baad me ye labal lga ke ghumna Swiggy sbse jhadu app hai. log Zepto ya Zomato use kro vo acha hai",Abhishek Choudhary,"ye sale order to 3 ghante me dete hai, 3 km aane mai inko 3 ghante lgte hai. road pe let kr bi aao to bi jaldi poch jaoge, pehle apna kaam thik kro. baad me ye labal lga ke ghumna swiggy sbse jhadu app hai. log zepto ya zomato use kro vo acha hai",55
Play Store,2026-07-16 10:45:22,1,"TERRIBLE. HOW CAN RESTAURANTS SERVING SUCH BAD FOOD, HAVE SUCH HIGH RATINGS.",RITWIK JOSHI,"terrible. how can restaurants serving such bad food, have such high ratings.",12
Play Store,2026-07-16 10:39:17,5,"quick booking of food, app is very user friendly",Anurag,"quick booking of food, app is very user friendly",9
Play Store,2026-07-16 10:30:18,1,Third class the worst experience of handling complaints of wrong delivery boycott this app,Dr Sumit Awasthi,third class the worst experience of handling complaints of wrong delivery boycott this app,14
Play Store,2026-07-16 09:53:42,1,"I am highly disappointed with Swiggy. The prices of all food items and products are significantly higher compared to other food delivery apps. On top of that, your delivery and customer service have become extremely poor. The app is no longer worth rating, so I have uninstalled it.",sumeet kumar,"i am highly disappointed with swiggy. the prices of all food items and products are significantly higher compared to other food delivery apps. on top of that, your delivery and customer service have become extremely poor. the app is no longer worth rating, so i have uninstalled it.",48
Play Store,2026-07-16 08:23:46,1,They are cheaters. You will not get your food properly. even my last order I'll not received. if you order 10 times means 2 times you will not get.,Sashikumar M,they are cheaters. you will not get your food properly. even my last order i'll not received. if you order 10 times means 2 times you will not get.,29
Play Store,2026-07-16 08:06:43,4,"Good, but some orders by mistake cannot be cancelled or no refund.",Suganya K,"good, but some orders by mistake cannot be cancelled or no refund.",12
Play Store,2026-07-16 08:04:46,1,"worst customer service. accepting orders, then after waiting 2 hours customer service is saying restaurant is closed and we can't do anything",Gagan Deep,"worst customer service. accepting orders, then after waiting 2 hours customer service is saying restaurant is closed and we can't do anything",22
Play Store,2026-07-16 07:20:00,1,app is not working good 1rs items are not adding into cart,Divya Sri,app is not working good 1rs items are not adding into cart,12
Play Store,2026-07-16 06:34:53,1,Worst food delivery app. it assigns single delivery partner for multiple orders and keep customers waiting hours for food. Zomato is better than swiggy atleast.,Deep Shikha,worst food delivery app. it assigns single delivery partner for multiple orders and keep customers waiting hours for food. zomato is better than swiggy atleast.,25
Play Store,2026-07-16 03:27:33,1,worst app worst service and loads of cheating..I got fraud two times with this app..No Adequate order description..don't use this app..you will get fraud for sure. Zomato is trusted and reliable am just uninstalling swiggy and telling my friends to uninstall swiggy.,Naman Soni,worst app worst service and loads of cheating..i got fraud two times with this app..no adequate order description..don't use this app..you will get fraud for sure. zomato is trusted and reliable am just uninstalling swiggy and telling my friends to uninstall swiggy.,42
Play Store,2026-07-16 03:21:24,1,"This is absolutely disgusting and unacceptable! I found a cockroach in my mutton curry. This is beyond negligence it's a complete failure of basic hygiene and food safety. Serving contaminated food puts customers' health at risk. I will never order from here again. If you care about your health, stay away from this place. The management should be ashamed of allowing standards to fall this low. I expect strict action, accountability, and an explanation for how something this disgusting could hap",Tushar Saini,"this is absolutely disgusting and unacceptable! i found a cockroach in my mutton curry. this is beyond negligence it's a complete failure of basic hygiene and food safety. serving contaminated food puts customers' health at risk. i will never order from here again. if you care about your health, stay away from this place. the management should be ashamed of allowing standards to fall this low. i expect strict action, accountability, and an explanation for how something this disgusting could hap",81
Play Store,2026-07-16 02:34:08,2,"everytime I order after 12 , the order doesn't arrive and if it arrives it arrives cold , upon appealing for refund u get rejected with no reason, see I have got refunds for geniune reason, if if the food is not good refund must be given right, why to make fuss abt it, Swiggy team I have mailed you still no satisfactory reply, pls help me back fast",Sankalp B Chandavarkar,"everytime i order after 12 , the order doesn't arrive and if it arrives it arrives cold , upon appealing for refund u get rejected with no reason, see i have got refunds for geniune reason, if if the food is not good refund must be given right, why to make fuss abt it, swiggy team i have mailed you still no satisfactory reply, pls help me back fast",69
Play Store,2026-07-16 02:33:09,1,"Pathetic customer service, had to waste my hours just for a return within the window as mentioned on the product. Complete negligence on the part of swiggy. Lost a customer today. PS after their customer service replied: Customer service is pointless. They do not seem to respect return promises offered at time of order. So, bad luck if what you receive physically is not what you intended to buy virtually based on appearances on small screen of mobile. I faced this only with swiggy.",Dheeraj Bhushan,"pathetic customer service, had to waste my hours just for a return within the window as mentioned on the product. complete negligence on the part of swiggy. lost a customer today. ps after their customer service replied: customer service is pointless. they do not seem to respect return promises offered at time of order. so, bad luck if what you receive physically is not what you intended to buy virtually based on appearances on small screen of mobile. i faced this only with swiggy.",84
Play Store,2026-07-16 02:21:41,1,"I had a terrible experience with Swiggy. Some delivery riders scam customers by taking the food and disappearing, while the restaurant still gets paid and the customer receives nothing in return. On top of that, Swiggys customer service is completely useless. If you lose your money, just consider it gone because they dont even provide a proper refund. They also fail to take strict action against fraudulent delivery riders or cancel their accounts. Extremely disappointing and unacceptable service",Saima maqsood,"i had a terrible experience with swiggy. some delivery riders scam customers by taking the food and disappearing, while the restaurant still gets paid and the customer receives nothing in return. on top of that, swiggys customer service is completely useless. if you lose your money, just consider it gone because they dont even provide a proper refund. they also fail to take strict action against fraudulent delivery riders or cancel their accounts. extremely disappointing and unacceptable service",78
